iter	Passed	Remaining
0	0	96
1	1	91
2	2	86
3	3	80
4	4	78
5	4	77
6	5	77
7	6	76
8	7	76
9	8	75
10	9	74
11	10	73
12	10	72
13	11	71
14	12	70
15	13	69
16	14	69
17	14	68
18	15	67
19	16	66
20	17	66
21	18	65
22	19	64
23	20	63
24	20	62
25	21	62
26	22	61
27	23	60
28	24	59
29	25	58
30	26	57
31	26	57
32	27	56
33	28	56
34	30	55
35	30	54
36	31	54
37	32	53
38	33	52
39	34	51
40	35	51
41	35	49
42	36	48
43	37	48
44	38	47
45	39	46
46	40	45
47	41	45
48	42	44
49	43	43
50	44	42
51	45	41
52	45	40
53	46	39
54	47	38
55	48	38
56	49	37
57	50	36
58	52	36
59	53	35
60	53	34
61	54	33
62	55	32
63	56	31
64	57	30
65	58	30
66	59	29
67	60	28
68	61	27
69	62	26
70	62	25
71	63	24
72	64	23
73	65	23
74	66	22
75	67	21
76	68	20
77	69	19
78	70	18
79	71	17
80	72	16
81	72	16
82	73	15
83	74	14
84	75	13
85	76	12
86	77	11
87	78	10
88	79	9
89	79	8
90	80	7
91	81	7
92	82	6
93	83	5
94	84	4
95	85	3
96	85	2
97	86	1
98	87	0
99	88	0
