iter	Passed	Remaining
0	149	149459
1	150	75300
2	152	50536
3	153	38213
4	154	30799
5	156	25847
6	157	22308
7	158	19636
8	159	17570
9	161	15940
10	162	14586
11	163	13465
12	164	12500
13	165	11677
14	166	10960
15	168	10343
16	169	9814
17	171	9329
18	172	8888
19	173	8489
20	174	8130
21	175	7816
22	177	7524
23	178	7264
24	179	7011
25	180	6774
26	181	6557
27	183	6364
28	184	6181
29	186	6016
30	187	5858
31	188	5709
32	189	5567
33	191	5430
34	192	5300
35	193	5176
36	194	5060
37	195	4952
38	196	4852
39	198	4759
40	199	4673
41	201	4593
42	202	4509
43	204	4433
44	205	4365
45	207	4294
46	208	4221
47	209	4151
48	210	4083
49	211	4018
50	212	3963
51	214	3911
52	215	3857
53	216	3800
54	218	3745
55	219	3694
56	220	3644
57	221	3598
58	222	3552
59	223	3508
60	225	3463
61	226	3419
62	227	3380
63	228	3345
64	230	3308
65	231	3272
66	232	3237
67	233	3202
68	234	3167
69	235	3132
70	236	3100
71	238	3069
72	239	3037
73	240	3007
74	241	2980
75	242	2953
76	244	2928
77	245	2902
78	246	2875
79	247	2849
80	248	2824
81	250	2800
82	250	2770
83	251	2746
84	252	2722
85	254	2700
86	255	2677
87	256	2657
88	257	2638
89	258	2618
90	260	2598
91	261	2579
92	262	2559
93	263	2539
94	264	2520
95	265	2501
96	266	2482
97	267	2465
98	269	2448
99	270	2434
100	271	2417
101	272	2403
102	274	2388
103	275	2377
104	277	2363
105	278	2347
106	279	2331
107	280	2315
108	281	2300
109	282	2286
110	283	2271
111	284	2257
112	285	2243
113	287	2230
114	288	2218
115	289	2206
116	290	2192
117	291	2179
118	292	2166
119	293	2154
120	294	2141
121	295	2127
122	296	2115
123	297	2104
124	299	2093
125	300	2082
126	301	2070
127	302	2060
128	303	2050
129	305	2041
130	306	2031
131	307	2021
132	308	2011
133	309	2001
134	310	1992
135	312	1984
136	313	1976
137	314	1966
138	315	1956
139	317	1948
140	318	1940
141	319	1930
142	320	1921
